Week (2008-2009),Visits,Unique Visits,Pageviews,Pages/Visit,Avg. Time on Site (secs.),Bounce Rate,% New Visits
May 25 - May 31,1632,1509,3328,2,71,1,1
Jun 1 - Jun 7,1580,1450,3097,2,56,1,1
Jun 8 - Jun 14,1441,1306,3202,2,79,1,1
Jun 15 - Jun 21,1452,1301,3170,2,81,1,1
Jun 22 - Jun 28,1339,1255,2366,2,50,1,1
Jun 29 - Jul 5,892,841,1865,2,71,1,1
Jul 6 - Jul 12,797,731,1885,2,80,1,1
Jul 13 - Jul 19,744,706,1916,3,96,1,1
Jul 20 - Jul 26,1044,976,2670,3,82,1,1
Jul 27 - Aug 2,906,850,2189,2,78,1,1
Aug 3 - Aug 9,849,791,1947,2,91,1,1
Aug 10 - Aug 16,737,685,1746,2,98,1,1
Aug 17 - Aug 23,734,668,1946,3,100,1,1
Aug 24 - Aug 30,626,594,1540,2,91,1,1
Aug 31 - Sep 6,577,537,1489,3,83,1,1
Sep 7 - Sep 13,562,508,1428,3,82,1,1
Sep 14 - Sep 20,563,495,1547,3,112,1,1
Sep 21 - Sep 27,652,585,1792,3,101,1,1
Sep 28 - Oct 4,611,549,1928,3,109,1,1
Oct 5 - Oct 11,561,500,1784,3,113,1,1
Oct 12 - Oct 18,558,525,1455,3,97,1,1
Oct 19 - Oct 25,570,520,1562,3,95,1,1
Oct 26 - Nov 1,551,511,1560,3,109,1,1
Nov 2 - Nov 8,537,507,1450,3,93,1,1
Nov 9 - Nov 15,543,500,1527,3,109,1,1
Nov 16 - Nov 22,558,511,1495,3,96,1,1
Nov 23 - Nov 29,536,510,1515,3,102,1,1
Nov 30 - Dec 6,549,498,1367,2,87,1,1
Dec 7 - Dec 13,545,499,1464,3,106,1,1
Dec 14 - Dec 20,591,535,1469,2,91,1,1
Dec 21 - Dec 27,383,366,793,2,76,1,1
Dec 28 - Jan 3,402,385,827,2,62,1,1
Jan 4 - Jan 10,547,495,1659,3,120,1,1
Jan 11 - Jan 17,631,583,1745,3,103,1,1
Jan 18 - Jan 24,795,734,1824,2,67,1,1
Jan 25 - Jan 31,1000,930,2259,2,66,1,1
Feb 1 - Feb 7,1207,1136,2376,2,68,1,1
Feb 8 - Feb 14,2317,2229,3814,2,38,1,1
Feb 15 - Feb 21,2013,1946,3303,2,42,1,1
Feb 22 - Feb 28,2324,2228,3836,2,40,1,1
Mar 1 - Mar 7,3726,3617,5291,1,28,1,1
Mar 8 - Mar 14,2563,2482,3729,1,31,1,1
Mar 15 - Mar 21,3006,2896,4510,2,35,1,1
Mar 22 - Mar 28,1663,1585,3037,2,52,1,1
Mar 29 - Apr 4,1779,1689,2881,2,37,1,1
Apr 5 - Apr 11,1086,1030,2313,2,63,1,1
Apr 12 - Apr 18,1231,1166,2714,2,69,1,1
Apr 19 - Apr 25,1248,1178,2414,2,59,1,1
Apr 26 - May 2,1674,1613,2959,2,49,1,1
May 3 - May 9,1514,1452,2676,2,48,1,1
May 10 - May 16,1302,1246,2219,2,45,1,1
May 17 - May 23,1191,1137,2400,2,59,1,1
May 24 - May 30,957,912,1904,2,54,1,1
May 31 - Jun 6,963,909,2156,2,76,1,1
Jun 7 - Jun 13,882,848,1827,2,50,1,1
Jun 14 - Jun 20,942,896,2068,2,73,1,1
Jun 21 - Jun 27,835,789,1739,2,77,1,1
Jun 28 - Jul 4,802,762,1764,2,73,1,1
Jul 5 - Jul 11,806,750,1741,2,81,1,1
Jul 12 - Jul 18,900,828,2074,2,65,1,1
Jul 19 - Jul 25,860,811,1922,2,75,1,1
Jul 26 - Aug 1,924,828,2131,2,78,1,1
Aug 2 - Aug 8,792,737,1615,2,67,1,1
Aug 9 - Aug 15,781,718,1598,2,69,1,1
Aug 16 - Aug 22,776,714,1849,2,70,1,1
Aug 23 - Aug 29,772,709,1767,2,72,1,1
